"";"0-4";"5-9";"10-14";"15-19";"20-24";"25-29";"30-34";"35-39";"40-44";"45-49";"50-54";"55-59";"60-64";"65-69";"70-74";"75-79";"80-84";"85+"
"Menard County, Illinois";388;480;545;478;281;279;406;529;543;445;472;308;285;231;176;122;83;71
"Mercer County, Illinois";509;582;645;667;416;436;470;613;685;666;599;498;393;362;286;238;151;130
"Monroe County, Illinois";917;1019;1169;1064;697;725;853;1207;1300;1134;831;639;520;489;445;282;176;115
"Montgomery County, Illinois";914;1015;1108;1132;1046;1206;1232;1318;1379;1133;914;679;645;543;565;444;289;240
"Morgan County, Illinois";1024;1159;1263;1583;1401;1166;1196;1469;1446;1329;1185;936;783;628;617;453;306;239
"Moultrie County, Illinois";509;500;539;520;393;389;389;536;508;522;438;348;318;281;245;201;132;117
"Ogle County, Illinois";1656;2018;2139;2051;1257;1368;1628;2047;2257;1946;1574;1339;1092;865;801;626;392;254
"Peoria County, Illinois";6517;6756;6469;6758;6457;6107;5863;6229;6557;6586;5660;4466;3462;2957;2801;2250;1352;949
"Perry County, Illinois";644;704;799;908;1084;993;940;1078;987;893;702;575;480;440;379;323;191;135
"Piatt County, Illinois";510;605;608;609;367;392;455;642;720;647;562;452;379;315;296;217;134;80
"Pike County, Illinois";543;580;618;653;521;566;516;592;658;651;535;410;402;354;328;302;196;185
"Pope County, Illinois";116;112;136;258;161;103;115;145;145;155;149;151;141;124;89;70;37;28
"Pulaski County, Illinois";227;252;312;304;198;194;189;242;294;268;214;150;152;148;142;115;65;50
"Putnam County, Illinois";185;208;234;223;134;153;171;232;250;247;201;195;147;127;121;85;60;34
"Randolph County, Illinois";951;995;1139;1281;1541;1570;1471;1678;1545;1422;1046;837;666;596;524;459;290;221
"Richland County, Illinois";500;545;602;621;447;441;478;588;611;549;458;402;398;344;303;246;128;135
"Rock Island County, Illinois";4808;4913;5170;5570;5027;4607;4682;5420;5747;5610;4884;3906;3160;2635;2469;1858;1234;845
"Saint Clair County, Illinois";8921;10219;10673;9897;7623;7759;8102;10008;10108;8929;7297;5385;4153;3958;3778;2737;1690;1077
"Saline County, Illinois";760;840;936;1412;681;685;764;896;950;881;840;712;589;584;482;394;263;196
"Sangamon County, Illinois";6183;6924;6907;6410;5203;5820;6462;7441;7602;7215;6193;4334;3629;2946;2691;2069;1284;908
"Schuyler County, Illinois";231;239;226;248;198;197;239;234;295;274;243;196;166;167;147;116;92;57
"Scott County, Illinois";173;195;205;183;145;145;163;212;243;188;175;130;142;94;114;74;55;36
"Shelby County, Illinois";683;855;871;856;604;615;682;828;892;803;706;617;542;503;486;347;240;170
"Stark County, Illinois";190;229;219;234;143;166;185;217;235;221;205;184;148;140;98;114;75;51
"Stephenson County, Illinois";1443;1753;1882;1806;1179;1346;1578;1877;1949;1721;1490;1267;1069;916;874;728;407;327
"Tazewell County, Illinois";4063;4511;4589;4600;3704;4046;4360;4946;5177;4833;4434;3327;2621;2456;2281;1621;927;690
"Union County, Illinois";476;620;674;627;452;477;549;682;730;666;590;568;480;350;331;276;193;146
"Vermilion County, Illinois";2869;3014;2961;2925;2601;2749;2666;3136;3198;2984;2645;2168;1866;1613;1496;1234;713;453
"Wabash County, Illinois";373;456;461;540;391;343;358;470;536;512;415;311;286;243;210;182;123;104
"Warren County, Illinois";534;587;665;846;730;480;520;620;667;711;575;485;417;346;329;276;168;112
"Washington County, Illinois";443;507;628;602;371;386;468;595;640;586;465;341;359;288;273;265;155;110
"Wayne County, Illinois";498;580;665;625;451;489;520;601;633;571;534;464;421;372;336;279;182;125
"White County, Illinois";413;403;497;515;394;370;429;553;598;557;481;424;409;322;338;292;176;155
"Whiteside County, Illinois";1986;2128;2298;2289;1686;1774;1826;2256;2356;2285;1906;1621;1290;1126;1084;858;548;380
"Will County, Illinois";21590;22574;21255;19045;14586;16496;20644;23588;22040;18118;15211;11036;7610;5642;4685;3505;1976;1231
"Williamson County, Illinois";1801;1941;2119;2004;1853;1999;2041;2323;2328;2119;2032;1692;1400;1194;1043;898;541;363
"Winnebago County, Illinois";10200;10542;10727;9937;8031;9404;9790;11197;11162;10061;8729;6763;5156;4270;4012;3142;1847;1225
"Woodford County, Illinois";1193;1318;1463;1420;1026;848;1005;1294;1417;1407;1200;944;700;594;491;435;317;254
"Adams County, Indiana";1389;1583;1509;1483;1064;1061;1063;1203;1151;1119;913;700;615;488;440;369;276;192
"Allen County, Indiana";12945;13406;12983;12286;11040;11895;11760;12946;13108;12173;10011;7254;5434;4492;4258;3236;1890;1308
"Bartholomew County, Indiana";2751;2722;2725;2258;2065;2464;2577;2792;2800;2601;2368;1936;1509;1230;893;712;450;254
"Benton County, Indiana";339;404;426;383;225;278;309;357;361;347;243;234;203;152;137;142;78;59
"Blackford County, Indiana";477;493;562;465;376;462;455;497;533;488;505;400;320;289;226;177;115;67
"Boone County, Indiana";1706;2003;1954;1611;965;1208;1540;1943;2085;1751;1557;1139;875;650;583;418;286;232
"Brown County, Indiana";409;497;558;542;342;375;453;595;633;647;626;536;408;357;226;158;94;55
"Carroll County, Indiana";692;794;816;713;494;649;675;785;852;777;659;562;430;327;319;256;163;97
"Cass County, Indiana";1474;1481;1529;1748;1339;1409;1348;1558;1709;1464;1220;1032;829;724;660;526;339;180
"Clark County, Indiana";3351;3329;3289;3260;3191;3458;3531;3874;3867;3588;3167;2470;1808;1546;1323;981;536;361
"Clay County, Indiana";862;945;1004;1081;772;786;864;1004;1059;952;805;636;529;469;433;363;172;151
"Clinton County, Indiana";1242;1309;1375;1359;1090;1151;1121;1320;1303;1215;941;700;647;540;515;421;253;202
"Crawford County, Indiana";363;397;448;378;312;330;349;412;436;430;374;297;275;196;178;125;59;49
"Daviess County, Indiana";1160;1300;1225;1262;871;916;894;1107;1069;1003;858;708;572;483;466;380;265;166
"Dearborn County, Indiana";1589;1792;1966;1801;1231;1291;1575;1988;2035;1828;1505;1167;883;744;633;420;242;149
"Decatur County, Indiana";962;878;952;851;794;860;876;967;948;850;738;562;517;413;371;289;171;132
"De Kalb County, Indiana";1576;1695;1630;1452;1257;1387;1483;1694;1637;1503;1234;951;685;562;534;369;231;179
"Delaware County, Indiana";3549;3684;3714;5236;6782;3761;3686;3802;3865;3670;3450;2977;2441;1948;1811;1359;730;510
"Dubois County, Indiana";1435;1476;1556;1523;1168;1228;1437;1724;1706;1473;1194;855;806;625;550;407;260;196
"Elkhart County, Indiana";7555;7595;7656;6954;6364;6702;6886;7393;6791;6369;5293;4137;3089;2470;2131;1647;1061;755
"Fayette County, Indiana";850;933;867;840;772;854;837;862;889;985;865;666;559;489;476;330;213;112
"Floyd County, Indiana";2350;2619;2703;2545;2002;2193;2248;2870;2981;2669;2408;1740;1342;1036;991;697;443;295
"Fountain County, Indiana";618;746;695;672;457;537;616;681;723;579;533;473;458;368;311;215;146;80
"Franklin County, Indiana";797;939;920;851;575;679;734;954;923;838;691;533;456;370;341;231;132;94
"Fulton County, Indiana";697;791;814;738;543;607;633;800;861;715;605;544;460;411;353;286;156;125
"Gibson County, Indiana";1061;1125;1131;1268;964;957;1053;1280;1349;1209;1002;800;707;603;552;411;251;183
"Grant County, Indiana";2244;2567;2544;2854;2832;2006;2129;2417;2696;2448;2400;1939;1709;1444;1209;892;538;347
"Greene County, Indiana";1057;1187;1236;1204;915;978;1097;1330;1295;1179;1137;945;721;573;578;418;278;177
"Hamilton County, Indiana";8375;8630;7749;5755;3429;5784;7576;9032;8547;6990;5701;3918;2623;1946;1609;1166;649;405
"Hancock County, Indiana";1931;2072;2224;2055;1317;1465;1868;2393;2414;2066;2059;1605;1206;919;742;528;293;191
"Harrison County, Indiana";1118;1256;1343;1377;1013;1014;1096;1549;1494;1347;1214;946;644;541;497;301;208;141
"Hendricks County, Indiana";3833;4242;4179;3920;2640;3259;3996;4996;4781;4011;3474;2691;1851;1435;1167;912;515;291
"Henry County, Indiana";1533;1655;1717;1629;1263;1457;1599;1816;1807;1704;1723;1318;1133;918;874;627;379;251
"Howard County, Indiana";3031;3081;3077;3018;2455;2769;2783;3121;3157;2992;2819;2446;1821;1511;1261;890;512;345
"Huntington County, Indiana";1302;1393;1487;1493;1236;1125;1253;1424;1591;1423;1101;855;731;599;530;410;342;242
"Jackson County, Indiana";1531;1556;1429;1440;1351;1553;1587;1603;1669;1415;1251;1013;846;710;573;430;235;194
"Jasper County, Indiana";1049;1223;1198;1317;1058;905;991;1093;1186;1039;921;766;602;515;426;293;176;130
"Jay County, Indiana";799;893;864;757;605;670;740;781;784;756;665;582;514;338;375;280;183;109
"Jefferson County, Indiana";982;1119;1156;1299;1154;972;1062;1288;1265;1143;1055;851;650;559;438;369;203;134
"Jennings County, Indiana";1040;1165;1080;927;778;987;1093;1054;1103;1001;855;784;576;430;344;247;136;94
"Johnson County, Indiana";4477;4521;4388;4259;3588;3834;4282;4830;4588;4196;3608;2739;2067;1536;1382;1135;587;410
"Knox County, Indiana";1180;1241;1310;2202;1859;1077;1130;1378;1433;1324;1219;931;832;681;617;492;295;277
"Kosciusko County, Indiana";2858;2966;2956;2883;2337;2511;2581;2813;3026;2682;2277;1853;1531;1146;965;763;487;347
"LaGrange County, Indiana";1822;1689;1671;1630;1255;1188;1144;1187;1137;1034;967;767;649;521;416;324;167;113
"Lake County, Indiana";17573;18771;18456;18684;15094;14796;14935;17424;19031;17509;14891;11284;9054;7815;7236;5473;3344;1997
"LaPorte County, Indiana";3607;3997;3865;3989;3780;4086;4300;4725;4792;4521;3766;2807;2189;1778;1740;1345;750;502
"Lawrence County, Indiana";1549;1676;1614;1540;1202;1457;1540;1732;1725;1703;1586;1279;1066;833;784;577;298;220
"Madison County, Indiana";4376;4624;4647;4556;4359;4499;4714;5187;5061;4667;4443;3708;2822;2485;2142;1702;1034;658
"Marion County, Indiana";32624;32290;30900;29056;30410;36143;34746;35775;34119;28955;23542;16770;13491;11470;10104;8118;4469;3016
"Marshall County, Indiana";1730;1809;1916;1829;1371;1382;1490;1763;1792;1649;1384;1031;843;723;690;489;291;233
"Martin County, Indiana";343;352;407;416;280;303;354;399;411;423;379;305;232;215;175;139;65;50
"Miami County, Indiana";1164;1352;1429;1332;1084;1268;1340;1553;1560;1427;1230;892;738;607;555;422;221;138
"Monroe County, Indiana";3191;3128;2988;6461;11440;5227;4184;3893;3675;3552;3020;2252;1647;1443;1209;938;531;374
"Montgomery County, Indiana";1265;1453;1440;1571;1347;1153;1228;1527;1469;1313;1088;958;858;676;560;418;264;186
"Morgan County, Indiana";2528;2527;2706;2476;1781;1993;2500;2822;2867;2571;2265;1784;1378;1023;870;555;330;182
"Newton County, Indiana";459;540;602;604;389;427;465;598;599;552;485;419;332;247;226;138;103;54
"Noble County, Indiana";1915;1848;1954;1913;1571;1714;1744;1823;1903;1686;1388;995;775;660;572;436;248;165
"Ohio County, Indiana";179;166;226;202;167;155;173;235;230;247;177;143;145;109;95;68;34;17
"Orange County, Indiana";637;705;742;660;535;578;625;764;771;695;617;512;436;402;305;246;150;109
"Owen County, Indiana";686;805;884;854;515;543;709;956;922;833;725;633;490;442;374;245;135;86
"Parke County, Indiana";478;596;668;626;387;417;488;676;648;622;548;522;453;363;297;231;126;76
"Perry County, Indiana";530;611;656;760;750;672;695;865;848;768;654;453;384;330;296;253;142;104
"Pike County, Indiana";416;446;469;461;348;381;436;527;526;449;447;367;323;271;219;150;102;76
"Porter County, Indiana";4804;5297;5558;6022;4895;4455;4737;5316;6234;6113;5318;3995;2753;2134;1800;1319;800;496
"Posey County, Indiana";881;1090;1193;1009;723;669;806;1133;1269;1130;868;717;567;453;398;286;173;103
"Pulaski County, Indiana";439;549;564;569;358;403;429;528;586;499;442;379;292;264;248;173;128;88
"Putnam County, Indiana";1093;1213;1290;1581;1791;1224;1446;1734;1520;1243;1060;849;778;677;539;352;199;138
"Randolph County, Indiana";931;977;1037;981;755;812;885;1009;1045;977;883;744;625;546;480;403;189;157
"Ripley County, Indiana";1007;1067;1078;959;720;816;938;1071;991;945;780;668;540;477;352;307;161;150
"Rush County, Indiana";649;754;709;627;489;562;605;729;766;622;572;410;382;330;303;233;136;93
"Saint Joseph County, Indiana";9433;9815;9693;10872;10225;8618;8837;9516;9857;9426;7778;5642;4220;3839;3901;3244;1897;1320
"Scott County, Indiana";850;833;903;840;750;816;868;962;891;808;744;564;498;384;286;184;123;93
"Shelby County, Indiana";1527;1623;1749;1569;1226;1434;1431;1950;1873;1651;1390;1056;890;638;637;414;281;166
"Spencer County, Indiana";656;777;795;770;533;617;685;848;875;801;721;547;459;387;296;213;127;110
"Starke County, Indiana";788;917;934;948;641;714;765;861;922;892;673;623;564;460;406;275;166;111
"Steuben County, Indiana";1141;1237;1221;1406;1355;1071;1143;1311;1299;1210;1093;923;694;567;448;312;192;148
"Sullivan County, Indiana";645;698;746;809;925;982;921;1047;983;896;745;579;447;360;350;267;162;84
"Switzerland County, Indiana";310;348;370;346;290;285;261;378;351;317;337;256;234;168;136;94;58;32
"Tippecanoe County, Indiana";4452;4585;4374;9025;14783;6432;5255;4739;4633;4265;3578;2669;2057;1650;1474;1273;695;484
"Tipton County, Indiana";536;583;657;601;397;494;578;593;649;651;576;485;370;290;249;198;119;79
"Union County, Indiana";274;294;311;279;196;193;268;276;286;255;240;205;175;122;105;80;44;41
"Vanderburgh County, Indiana";5461;5613;5746;6231;6310;5501;5330;6327;6774;6201;5011;3823;3156;2812;2825;2235;1315;838
"Vermillion County, Indiana";540;563;611;588;487;506;557;602;651;600;610;512;354;306;262;205;121;102
"Vigo County, Indiana";3322;3486;3512;4611;5434;3683;3558;3750;3964;3725;3131;2347;1857;1583;1501;1329;737;468
"Wabash County, Indiana";1061;1159;1356;1412;1237;1018;1029;1236;1270;1219;1119;918;735;657;548;425;321;237
"Warren County, Indiana";278;341;381;314;197;225;291;337;325;317;293;243;211;163;141;114;54;42
"Warrick County, Indiana";1783;2049;2112;1896;1296;1454;1659;2196;2306;2076;1989;1481;1092;777;630;493;248;197
"Washington County, Indiana";925;1065;1095;1040;885;911;970;1072;1151;995;864;711;557;436;367;293;196;87
"Wayne County, Indiana";2299;2401;2663;2559;2166;2137;2268;2634;2616;2407;2197;1796;1517;1310;1284;954;536;394
"Wells County, Indiana";960;1103;1134;1162;791;776;821;1088;1183;1008;848;647;515;454;427;359;189;148
"White County, Indiana";854;956;921;965;700;839;779;938;957;942;799;674;561;522;405;320;189;108
"Whitley County, Indiana";1063;1129;1286;1162;897;943;970;1209;1340;1210;1065;716;599;482;447;339;231;150
"Adair County, Iowa";225;283;300;313;189;187;213;275;333;332;239;186;198;201;186;162;124;90
"Adams County, Iowa";142;139;179;158;94;126;103;168;172;143;156;113;122;105;116;74;57;36
"Allamakee County, Iowa";424;520;595;544;370;427;434;551;578;546;442;407;355;352;297;239;157;108
"Appanoose County, Iowa";385;444;483;478;365;362;363;481;479;469;420;384;335;289;271;243;170;135
"Audubon County, Iowa";200;235;284;230;116;117;183;224;239;251;189;177;174;147;186;141;115;65
"Benton County, Iowa";905;1056;1078;932;563;625;848;1146;1113;932;731;592;492;473;405;331;251;179
"Black Hawk County, Iowa";3976;4170;4303;5299;6837;3897;3806;3992;4211;4662;3899;2880;2352;1986;1913;1596;963;716
"Boone County, Iowa";822;921;971;1056;722;755;789;944;1096;1032;856;602;558;494;442;362;230;185
"Bremer County, Iowa";685;820;841;1039;884;490;637;753;843;851;750;666;535;401;385;313;220;161
"Buchanan County, Iowa";772;830;941;911;598;592;588;782;811;757;687;494;480;346;310;285;178;114
"Buena Vista County, Iowa";599;759;817;1014;856;531;619;705;832;768;579;403;335;328;397;309;202;172
"Butler County, Iowa";430;523;562;595;342;402;411;531;591;587;546;419;312;334;302;282;196;140
"Calhoun County, Iowa";283;353;388;394;276;275;328;413;470;479;323;275;265;239;265;203;165;111
"Carroll County, Iowa";680;756;902;931;541;524;612;777;917;771;572;481;417;400;396;346;254;164
"Cass County, Iowa";413;478;570;561;331;357;372;514;592;549;446;388;352;308;333;258;155;149
"Cedar County, Iowa";574;632;692;701;429;480;564;682;787;738;612;447;401;319;317;250;212;140
"Cerro Gordo County, Iowa";1374;1571;1618;1901;1393;1215;1320;1689;1803;1789;1414;1069;958;855;934;692;451;308
"Cherokee County, Iowa";358;437;526;554;304;258;314;450;543;533;431;345;281;303;299;240;159;95
"Chickasaw County, Iowa";396;507;525;545;312;306;366;493;552;482;379;346;328;277;261;214;159;102
"Clarke County, Iowa";301;334;374;357;244;233;257;337;399;325;308;205;191;162;171;124;92;82
"Clay County, Iowa";521;600;633;628;498;474;504;622;749;684;521;381;336;328;330;268;182;126
"Clayton County, Iowa";558;642;736;730;382;486;525;680;774;739;591;501;424;426;380;257;226;167
"Clinton County, Iowa";1638;1754;1982;1898;1403;1321;1501;1915;1976;1794;1570;1295;1117;895;831;729;438;284
"Crawford County, Iowa";570;613;669;733;503;478;466;633;681;587;534;468;365;329;319;261;182;119
"Dallas County, Iowa";1769;1660;1549;1500;964;1281;1608;1798;1751;1468;1273;917;714;564;500;371;267;189
"Davis County, Iowa";320;293;369;337;213;209;252;307;333;305;280;206;200;179;150;112;86;75
"Decatur County, Iowa";249;296;321;425;475;205;195;237;272;311;247;193;198;189;160;126;77;72
"Delaware County, Iowa";566;744;829;806;445;426;561;735;815;660;521;423;427;329;313;261;169;96
"Des Moines County, Iowa";1382;1497;1441;1592;1215;1221;1256;1510;1543;1583;1490;1123;863;734;705;656;393;255
"Dickinson County, Iowa";448;486;551;533;401;400;438;549;593;654;608;490;411;428;373;298;202;138
"Dubuque County, Iowa";3036;3271;3253;3512;3061;2453;2910;3384;3451;3134;2767;2091;1846;1550;1424;1054;654;446
"Emmet County, Iowa";313;342;400;522;377;286;288;343;415;404;338;243;263;205;209;178;120;109
"Fayette County, Iowa";705;788;800;871;739;540;629;785;856;798;631;531;493;445;452;371;244;189
"Floyd County, Iowa";545;599;615;621;365;419;478;578;575;622;573;457;408;322;330;277;212;168
"Franklin County, Iowa";305;358;395;438;255;286;274;363;401;426;342;290;246;222;249;188;129;87
"Fremont County, Iowa";238;301;322;290;151;194;210;269;305;310;288;212;187;178;158;136;91;72
"Greene County, Iowa";310;408;422;421;210;220;262;368;381;373;328;225;247;204;233;207;125;119
"Grundy County, Iowa";331;440;517;473;271;287;326;447;487;472;389;341;318;231;250;192;165;113
"Guthrie County, Iowa";344;390;400;392;239;258;301;442;447;452;363;311;299;280;264;186;130;111
"Hamilton County, Iowa";561;590;626;591;397;480;513;620;717;556;511;382;349;301;358;260;195;130
"Hancock County, Iowa";380;420;470;507;248;307;314;455;491;508;377;310;269;220;234;188;148;105
"Hardin County, Iowa";549;578;691;1008;528;431;480;579;747;685;549;445;401;358;396;357;231;187
"Harrison County, Iowa";496;598;684;580;362;413;445;624;627;555;458;395;345;318;280;231;159;125
"Henry County, Iowa";622;701;727;825;700;670;766;909;846;750;690;511;402;307;295;275;164;134
"Howard County, Iowa";291;369;411;357;247;222;312;371;401;356;266;244;208;188;221;187;151;89
"Humboldt County, Iowa";303;335;423;425;228;245;243;349;448;379;313;275;212;237;221;203;148;90
"Ida County, Iowa";218;249;339;292;169;182;184;261;320;298;248;186;165;174;176;156;112;67
"Iowa County, Iowa";486;629;605;526;316;394;479;640;680;616;453;369;341;307;270;232;161;131
"Jackson County, Iowa";647;732;822;793;472;469;615;795;816;755;629;516;484;434;357;314;187;160
"Jasper County, Iowa";1213;1381;1318;1255;1078;1237;1283;1548;1588;1413;1235;948;777;709;700;497;355;221
"Jefferson County, Iowa";451;509;614;639;424;426;410;490;630;991;790;394;275;221;235;176;141;104
"Johnson County, Iowa";3303;3258;3094;5137;9358;5478;4333;4008;3916;3667;3003;1970;1303;1099;894;705;418;310
"Jones County, Iowa";577;714;737;680;696;684;797;944;938;853;663;513;445;383;355;265;197;117
"Keokuk County, Iowa";342;398;446;465;244;286;310;386;484;427;314;266;239;240;243;202;128;108
"Kossuth County, Iowa";471;557;693;721;342;354;414;601;746;632;547;411;423;429;342;317;212;165
"Lee County, Iowa";1127;1264;1426;1371;1064;1051;1079;1549;1578;1573;1392;1026;834;698;657;565;324;244
"Linn County, Iowa";6909;7073;6773;7013;6594;6749;7075;7690;7645;6913;5984;4396;3522;2945;2498;2097;1267;822
"Louisa County, Iowa";448;475;512;470;317;346;452;500;488;411;370;289;255;208;201;132;105;80
"Lucas County, Iowa";290;365;359;353;207;230;264;348;321;317;281;259;247;198;195;146;98;101
"Lyon County, Iowa";404;476;507;503;306;302;348;387;455;433;317;245;218;260;243;192;134;104
"Madison County, Iowa";508;557;556;567;295;373;437;530;547;534;481;340;307;255;202;185;127;117
"Mahaska County, Iowa";753;810;843;890;803;675;693;834;870;825;666;509;439;367;380;363;219;177
"Marion County, Iowa";1027;1176;1228;1316;1115;913;930;1184;1271;1165;991;795;665;545;554;475;300;260
"Marshall County, Iowa";1311;1396;1475;1549;1081;1118;1301;1355;1431;1551;1320;1032;847;751;736;656;387;284
"Mills County, Iowa";498;577;605;573;348;373;454;585;622;583;571;392;331;252;203;160;97;73
"Mitchell County, Iowa";344;411;461;426;200;250;268;385;421;384;296;256;243;225;255;210;144;139
"Monona County, Iowa";270;338;353;367;205;243;231;339;365;373;304;269;235;260;235;199;161;114
"Monroe County, Iowa";271;263;318;276;206;188;249;279;280;282;243;221;172;163;173;154;96;70
"Montgomery County, Iowa";341;422;419;415;247;314;337;399;458;421;388;265;220;259;241;194;119;122
"Muscatine County, Iowa";1465;1675;1642;1624;1249;1323;1402;1646;1687;1614;1358;1009;781;647;609;440;279;211
"O'Brien County, Iowa";465;506;572;646;409;382;402;487;614;559;433;342;337;332;316;259;181;148
"Osceola County, Iowa";192;259;279;261;191;169;180;271;331;241;181;176;145;145;149;110;64;67
"Page County, Iowa";471;494;585;692;553;578;538;672;690;647;553;417;365;345;337;319;198;149
"Palo Alto County, Iowa";284;318;372;467;317;252;219;329;409;357;298;234;209;238;231;175;125;101
"Plymouth County, Iowa";863;967;1046;1140;597;615;741;873;1045;978;748;586;458;446;466;345;237;199
"Pocahontas County, Iowa";214;311;393;320;152;160;181;329;368;334;282;222;218;187;200;204;107;74
"Polk County, Iowa";14380;13838;13420;12667;12141;14355;15147;15598;14741;13283;11407;8204;6070;5084;4497;3435;2102;1370
"Pottawattamie County, Iowa";2970;3195;3394;3388;2726;2806;2835;3410;3500;3236;2699;2054;1712;1498;1436;1030;566;399
"Poweshiek County, Iowa";535;612;625;799;770;438;505;637;719;645;597;428;413;348;329;280;196;164
"Ringgold County, Iowa";167;160;205;238;130;96;119;164;191;182;162;148;138;157;145;101;74;75
"Sac County, Iowa";325;376;458;432;288;229;313;379;479;424;334;280;269;266;274;224;168;114
"Scott County, Iowa";5713;5912;6199;5921;5027;5512;5511;5802;6300;6108;5259;3848;2847;2401;2025;1628;978;636
"Shelby County, Iowa";389;448;565;523;227;278;335;488;554;493;405;287;305;283;297;272;172;127
"Sioux County, Iowa";1051;1194;1292;1667;1507;771;837;1017;1156;1072;779;613;557;523;503;444;305;205
"Story County, Iowa";2091;2091;2262;4663;9170;3345;2464;2310;2457;2436;1962;1354;1132;920;778;656;459;337
"Tama County, Iowa";632;676;714;720;425;432;547;604;696;636;534;457;432;366;381;283;203;155
"Taylor County, Iowa";195;221;249;287;166;160;189;204;245;252;220;191;159;148;168;134;112;74
"Union County, Iowa";358;388;431;512;307;325;324;420;476;408;460;316;278;234;217;216;134;96
"Van Buren County, Iowa";199;290;305;287;194;204;229;258;287;301;254;228;197;172;173;133;96;87
"Wapello County, Iowa";1105;1176;1248;1432;1194;1054;1076;1207;1322;1387;1097;896;746;718;682;557;360;288
"Warren County, Iowa";1410;1505;1630;1689;1325;1034;1265;1612;1618;1548;1328;986;810;683;489;388;245;203
"Washington County, Iowa";700;750;787;729;489;528;627;775;834;738;667;476;417;379;332;305;241;187
"Wayne County, Iowa";153;240;238;226;133;142;154;218;266;225;182;198;155;163;171;166;94;95
"Webster County, Iowa";1305;1382;1443;1825;1824;1176;1164;1413;1518;1439;1167;905;767;765;764;636;373;277
"Winnebago County, Iowa";349;375;437;541;354;304;266;414;450;492;366;270;224;211;234;167;164;110
"Winneshiek County, Iowa";538;686;787;1069;1138;436;604;725;874;730;590;460;424;355;393;287;228;156
"Woodbury County, Iowa";4065;4068;4027;4053;3637;3622;3656;3935;3745;3731;2968;2162;1772;1512;1543;1199;720;500
"Worth County, Iowa";227;299;288;287;192;190;228;319;339;302;252;205;186;163;155;137;83;73
"Wright County, Iowa";409;539;520;546;341;336;394;485;571;584;423;349;330;286;288;253;214;159
"Allen County, Kansas";445;515;571;681;442;384;346;483;507;487;442;352;313;264;276;248;153;120
"Anderson County, Kansas";265;309;327;296;183;179;218;306;298;257;232;218;193;175;196;163;84;88
"Atchison County, Kansas";535;544;699;838;622;449;441;536;594;533;483;405;335;297;306;240;139;101
"Barber County, Kansas";139;176;211;214;89;78;124;175;217;220;167;161;110;149;115;109;57;37
"Barton County, Kansas";916;983;1156;1204;800;670;721;1000;1128;1008;841;633;564;580;554;423;261;209
"Bourbon County, Kansas";485;551;614;703;471;421;394;523;501;498;475;398;294;268;292;236;176;112
"Brown County, Kansas";345;382;420;444;252;239;296;346;383;383;336;267;235;217;217;163;132;124
"Butler County, Kansas";2124;2379;2707;2564;1657;1669;1929;2503;2689;2352;1917;1283;1009;924;845;650;368;307
"Chase County, Kansas";98;101;119;127;66;90;83;129;111;122;95;93;69;61;67;50;36;27
"Chautauqua County, Kansas";102;135;178;160;80;72;91;138;149;121;129;123;158;103;114;98;83;73
"Cherokee County, Kansas";791;818;886;891;639;629;735;838;820;742;706;596;531;359;374;322;170;116
"Cheyenne County, Kansas";85;117;114;130;47;58;88;92;127;122;97;79;52;82;103;83;49;36
"Clark County, Kansas";82;93;96;108;29;49;54;71;89;79;88;55;67;45;58;49;28;28
"Clay County, Kansas";261;301;369;338;214;211;241;303;326;348;293;221;197;170;191;172;128;108
"Cloud County, Kansas";251;292;365;486;310;199;258;330;350;303;335;226;245;205;211;221;152;141
"Coffey County, Kansas";270;336;348;382;187;217;235;335;374;364;297;225;190;146;156;115;86;84
"Comanche County, Kansas";63;61;73;56;26;43;35;58;64;71;68;58;69;64;42;27;40;33
"Cowley County, Kansas";1169;1306;1381;1522;1190;1027;1068;1386;1371;1277;1058;894;732;672;627;468;338;261
"Crawford County, Kansas";1233;1159;1254;1711;2382;1326;1117;1217;1255;1181;1074;863;678;542;502;485;364;291
"Decatur County, Kansas";86;110;144;146;52;66;81;109;145;137;101;88;79;104;92;72;66;36
"Dickinson County, Kansas";585;700;761;746;409;470;533;720;828;709;573;497;439;410;406;278;200;166
"Doniphan County, Kansas";260;290;312;455;271;216;214;254;344;307;276;177;160;138;146;144;68;64
"Douglas County, Kansas";2825;2795;2993;5032;9976;4593;3432;3246;3144;2979;2530;1595;1201;975;872;722;453;288
"Edwards County, Kansas";106;107;140;132;74;91;94;119;137;130;93;87;97;69;81;58;48;40
"Elk County, Kansas";72;95;107;111;70;54;61;98;102;122;106;105;105;98;90;72;41;49
"Ellis County, Kansas";814;796;919;1379;1798;925;758;863;940;967;743;501;455;446;434;346;202;175
"Ellsworth County, Kansas";142;168;233;269;226;213;221;308;317;281;225;175;155;139;130;112;65;67
"Finney County, Kansas";2185;2023;1874;1821;1609;1595;1774;1659;1531;1260;967;681;558;361;309;235;152;87
"Ford County, Kansas";1580;1496;1388;1438;1410;1369;1346;1252;1127;1000;813;568;485;383;393;372;215;156
"Franklin County, Kansas";913;972;1049;1026;786;721;792;953;1014;847;720;588;488;393;366;301;199;156
"Geary County, Kansas";1373;1176;1062;1048;1449;1199;973;1075;973;852;625;504;394;333;296;223;147;82
"Gove County, Kansas";91;99;131;133;47;58;63;103;121;112;101;75;74;82;75;60;37;34
